category,group,residentRenderables,residentMeshes,hierarchyVisibleRenderables,hierarchyVisibleMeshes,frustumQualifiedRenderables,submittedUniqueObjects,submittedUniqueMeshes,renderBufferDirectInvocations,nativeCalls,triangles,distinctSubmittedMaterialIds
stock,stock-overview,1609,1609,1609,1609,1609,1609,1609,1609,1609,1337187,1
cover-park,grass,106,106,106,106,106,106,106,106,106,122795,105
cover-road,asphalt,105,105,105,105,105,105,105,105,105,196127,105
cover-road,pavement,105,105,105,105,105,105,105,105,105,197198,105
cover-park,park-paths,98,98,98,98,98,98,98,98,98,1778,98
cover-water,water-bank,58,58,58,58,58,58,58,58,58,8176,58
cover-water,water-surface,58,58,58,58,58,58,58,58,58,4776,58
landmark,buckingham,30,30,30,30,30,30,30,30,30,3312,16
landmark,eye,20,20,20,20,20,20,20,20,20,944,19
landmark,oldstreet,20,20,20,20,20,20,20,20,20,1200,20
landmark,lcy,18,18,18,18,18,18,18,18,18,1944,10
landmark,towerbridge,17,17,17,17,17,17,17,17,17,2164,9
noticed-replacement,charrington-tower,16,16,16,16,16,16,16,16,16,3216,3
landmark,towerlondon,11,11,11,11,11,11,11,11,11,2716,6
landmark,stpauls,9,9,9,9,9,9,9,9,9,2444,9
noticed-replacement,one-park-drive,8,8,8,8,8,8,8,8,8,1360,2
other-scene,hub-glows,8,0,8,0,8,8,0,8,8,16,8
landmark,britishmuseum,6,6,6,6,6,6,6,6,6,1138,6
landmark,alberthall,5,5,5,5,5,5,5,5,5,880,5
landmark,goodgest,5,5,5,5,5,5,5,5,5,216,5
landmark,nationaltheatre,5,5,5,5,5,5,5,5,5,276,5
landmark,stcharles,5,5,5,5,5,5,5,5,5,176,5
landmark,stpancras,5,5,5,5,5,5,5,5,5,600,5
landmark,tatemodern,5,5,5,5,5,5,5,5,5,1020,5
landmark,allsouls,4,4,4,4,4,4,4,4,4,476,4
landmark,bigben,4,4,4,4,4,4,4,4,4,704,4
noticed-replacement,citi,4,4,4,4,4,4,4,4,4,192,3
landmark,battersea,3,3,3,3,3,3,3,3,3,1496,3
landmark,canadasq,3,3,3,3,3,3,3,3,3,916,3
landmark,gherkin,3,3,3,3,3,3,3,3,3,3936,3
landmark,shard,3,3,3,3,3,3,3,3,3,2144,3
landmark,walkie,3,3,3,3,3,3,3,3,3,204,3
noticed-replacement,hsbc-uk,3,3,3,3,3,3,3,3,3,576,3
noticed-replacement,newfoundland-quay,3,3,3,3,3,3,3,3,3,1536,2
landmark,abbey,2,2,2,2,2,2,2,2,2,188,2
landmark,albertbr,2,2,2,2,2,2,2,2,2,520,2
landmark,bishop,2,2,2,2,2,2,2,2,2,156,2
landmark,bttower,2,2,2,2,2,2,2,2,2,832,2
landmark,grater,2,2,2,2,2,2,2,2,2,536,2
landmark,monument,2,2,2,2,2,2,2,2,2,232,2
landmark,o2,2,2,2,2,2,2,2,2,2,1332,2
landmark,tower42,2,2,2,2,2,2,2,2,2,80,2
landmark,blackfriarsbr,1,1,1,1,1,1,1,1,1,60,1
landmark,heron,1,1,1,1,1,1,1,1,1,56,1
landmark,hungerford,1,1,1,1,1,1,1,1,1,72,1
landmark,lambethbr,1,1,1,1,1,1,1,1,1,60,1
landmark,londonbr,1,1,1,1,1,1,1,1,1,36,1
landmark,millennium,1,1,1,1,1,1,1,1,1,544,1
landmark,waterloobr,1,1,1,1,1,1,1,1,1,60,1
landmark,westminsterbr,1,1,1,1,1,1,1,1,1,84,1
other-scene,ground,1,1,1,1,1,1,1,1,1,2,1
other-scene,selection-beam,2,2,0,0,0,0,0,0,0,0,0
